iter	RMSE
0	3737.155342
1	3497.773854
2	3274.168646
3	3075.267493
4	2882.212666
5	2706.749982
6	2548.032589
7	2404.309272
8	2269.667104
9	2145.414009
10	2031.215732
11	1924.164103
12	1826.976478
13	1738.454689
14	1659.744909
15	1583.265891
16	1512.031476
17	1448.502341
18	1388.407309
19	1335.507688
20	1287.142735
21	1240.226686
22	1196.881064
23	1159.593633
24	1123.007622
25	1089.997288
26	1056.75667
27	1030.036521
28	1002.940382
29	977.8549823
30	956.6831267
31	936.8756518
32	919.2944819
33	900.0333553
34	882.5946834
35	865.3939399
36	851.1379734
37	837.4581426
38	826.6164235
39	814.2545731
40	804.4788274
41	795.3566208
42	786.5556082
43	776.5290098
44	766.1248922
45	757.4206153
46	750.7055354
47	744.7962418
48	738.678756
49	732.2172943
50	725.1377763
51	719.8705339
52	714.0133658
53	710.297361
54	704.267387
55	700.4761349
56	696.5389795
57	693.2262741
58	687.9222594
59	684.3910852
60	682.0609582
61	679.7425792
62	677.2463988
63	673.1920649
64	669.9857743
65	667.0522577
66	665.1659757
67	662.2261993
68	659.3641623
69	657.6576465
70	654.8017075
71	652.443674
72	648.5714043
73	646.7015132
74	644.3682983
75	642.7998008
76	640.7751626
77	639.6032869
78	637.5007117
79	634.642116
80	632.8299084
81	631.4922971
82	629.9334345
83	628.0595548
84	626.304093
85	623.3707168
86	622.2266163
87	619.6549702
88	618.6878453
89	616.864184
90	615.386354
91	613.7278822
92	612.2326661
93	611.4354096
94	610.4971898
95	608.7229009
96	607.5622524
97	606.1343085
98	604.6917865
99	603.2401045
100	601.0305373
101	600.2184671
102	598.9023493
103	597.4990211
104	596.5429406
105	595.1843895
106	594.2189688
107	593.6132534
108	591.9671529
109	590.9533442
110	590.1965755
111	588.972699
112	588.2764067
113	586.7872663
114	585.9081437
115	584.821247
116	583.4180059
117	582.7927553
118	582.0785288
119	581.6442467
120	581.2198591
121	579.5090417
122	578.4349324
123	577.7003694
124	576.0324712
125	575.081465
126	574.1142823
127	573.5158456
128	572.7023016
129	571.864752
130	571.431376
131	571.0356442
132	570.5620372
133	569.6869779
134	569.1327448
135	568.3306353
136	567.9561462
137	566.8067109
138	565.7481545
139	565.2847937
140	564.4701987
141	564.0085645
142	563.3386988
143	562.9493829
144	561.9646449
145	561.2546762
146	560.8092265
147	560.0377455
148	559.2059876
149	558.3544739
150	557.5937333
151	556.8154375
152	556.4721326
153	556.1548817
154	555.6312697
155	554.8836711
156	554.372845
157	553.7886393
158	552.848114
159	552.2798648
160	551.4514589
161	550.5603559
162	549.9749866
163	549.4917336
164	549.0476294
165	548.5854652
166	548.2496482
167	548.0292272
168	547.3991502
169	546.9562412
170	546.5384194
171	546.1774495
172	545.6871528
173	545.3408229
174	544.9179169
175	544.5721727
176	544.3146437
177	543.7045799
178	543.4155335
179	543.2301292
180	542.5474554
181	542.224961
182	542.1172861
183	541.7460635
184	541.5763553
185	541.3446565
186	541.1630393
187	540.8770951
188	540.7139536
189	540.0562705
190	539.7652628
191	539.1752092
192	538.7514557
193	538.4408559
194	538.2801471
195	537.9672003
196	537.7756634
197	537.4204377
198	536.8845928
199	536.3183002
200	536.0228038
201	535.6877672
202	535.3870474
203	534.813829
204	534.2557137
205	534.1360717
206	533.7305772
207	533.3533195
208	532.9949535
209	532.5442872
210	532.2476827
211	531.9142033
212	531.660172
213	531.1830145
214	530.9504405
215	530.7287992
216	530.5144665
217	530.2293445
218	530.1429901
219	529.9501792
220	529.6031845
221	529.4934791
222	529.0424313
223	528.6244327
224	528.1297797
225	527.8985229
226	527.5436587
227	527.4203223
228	527.0527236
229	526.9199314
230	526.7501104
231	526.5381018
232	526.279246
233	525.8654861
234	525.4300801
235	525.2297398
236	524.9062992
237	524.5673708
238	524.2987866
239	523.8819942
240	523.5339521
241	523.2497522
242	522.9391848
243	522.7465546
244	522.4755045
245	522.0256601
246	521.692256
247	521.5515792
248	521.4482648
249	521.2920922
250	521.1289502
251	520.756142
252	520.7488533
253	520.4345317
254	520.2131546
255	519.9481651
256	519.819569
257	519.6540276
258	519.379475
259	519.1749985
260	518.7929408
261	518.6270442
262	518.4853271
263	518.4782037
264	518.1803564
265	517.9458458
266	517.7246368
267	517.56449
268	517.3312071
269	516.9930616
270	516.8623521
271	516.579179
272	516.1825437
273	515.9981025
274	515.8351018
275	515.4223978
276	515.2758791
277	515.1940307
278	514.9051806
279	514.7981721
280	514.5209988
281	514.3424149
282	514.0286466
283	513.827617
284	513.715049
285	513.4213175
286	513.2168927
287	512.9154157
288	512.8874439
289	512.6363086
290	512.3926702
291	512.1562193
292	511.967351
293	511.7471743
294	511.4942388
295	511.2695736
296	511.1662733
297	510.9836675
298	510.9583015
299	510.8804824
300	510.6357124
301	510.513308
302	510.4901725
303	510.2937146
304	510.0821123
305	509.9380008
306	509.9322573
307	509.7560428
308	509.6209932
309	509.5679295
310	509.4065826
311	509.3911351
312	509.0944322
313	508.815296
314	508.6051954
315	508.3842299
316	508.3790563
317	508.1319523
318	507.8937193
319	507.684976
320	507.4939189
321	507.2599276
322	507.0761437
323	506.894836
324	506.4920974
325	506.3598232
326	506.1612363
327	506.0231564
328	505.6735479
329	505.6211431
330	505.4016675
331	505.2538735
332	504.9978295
333	504.8198744
334	504.6051133
335	504.3107621
336	503.9895174
337	503.828568
338	503.4955904
339	503.3097852
340	503.0185719
341	502.7787884
342	502.4642683
343	502.3692195
344	502.337122
345	502.2861506
346	502.1201881
347	501.8588422
348	501.5252562
349	501.2799806
350	501.029608
351	500.7998938
352	500.7797023
353	500.6095814
354	500.3808216
355	500.1997385
356	500.1721439
357	500.0355571
358	499.9079422
359	499.7865793
360	499.6181696
361	499.3933889
362	499.1708155
363	498.894482
364	498.8139371
365	498.6946904
366	498.4888229
367	498.4700855
368	498.4074796
369	498.1133928
370	497.8772878
371	497.558597
372	497.4723858
373	497.2619635
374	497.0880624
375	496.9222075
376	496.683445
377	496.5902704
378	496.4460543
379	496.430237
380	496.2724598
381	496.2667111
382	496.1940269
383	495.9942205
384	495.890778
385	495.6415089
386	495.5647856
387	495.4602543
388	495.2722184
389	495.0989431
390	494.8886494
391	494.66221
392	494.5078494
393	494.5043755
394	494.4996362
395	494.3526603
396	494.1237312
397	493.9526502
398	493.9484725
399	493.8952859
400	493.8583526
401	493.6556924
402	493.5388556
403	493.3155622
404	493.2012318
405	492.9891493
406	492.782388
407	492.7106984
408	492.4215138
409	492.1531708
410	491.9370611
411	491.708255
412	491.4795666
413	491.4486688
414	491.1417405
415	491.0142009
416	490.8768343
417	490.7124189
418	490.6772979
419	490.4992513
420	490.3228883
421	490.2374666
422	490.18549
423	490.1121806
424	490.0506225
425	489.9583679
426	489.8039104
427	489.6116692
428	489.516482
429	489.3719844
430	489.1706274
431	488.994679
432	488.9127449
433	488.8328018
434	488.7358104
435	488.5583668
436	488.5102247
437	488.3727048
438	488.277825
439	488.1672821
440	487.9854409
441	487.9525779
442	487.8811279
443	487.7114365
444	487.6234367
445	487.4435604
446	487.4279031
447	487.2444715
448	487.1037502
449	486.9787806
450	486.9546529
451	486.8513823
452	486.7283424
453	486.6247434
454	486.6105159
455	486.4785798
456	486.2519665
457	486.1324485
458	485.9701013
459	485.7584749
460	485.6563722
461	485.5350147
462	485.3542115
463	485.2538325
464	485.0711383
465	485.0321168
466	484.9226656
467	484.8092929
468	484.6122456
469	484.4779393
470	484.3952075
471	484.3281378
472	484.1962756
473	484.1157677
474	484.020522
475	483.9103209
476	483.8002023
477	483.74109
478	483.6702182
479	483.5217262
480	483.3883561
481	483.3541683
482	483.3498695
483	483.2358655
484	483.0861273
485	483.0139559
486	482.8044567
487	482.6070945
488	482.5341555
489	482.397895
490	482.2184657
491	482.1628582
492	482.0731858
493	481.9412611
494	481.8518007
495	481.8253935
496	481.772524
497	481.6035745
498	481.5378381
499	481.3661262
500	481.3186809
501	481.2330816
502	481.2312999
503	481.2295849
504	481.0500826
505	480.9306483
506	480.8645498
507	480.6934775
508	480.6495568
509	480.5334549
510	480.4116797
511	480.2243387
512	480.0492113
513	479.8776008
514	479.7978042
515	479.6456465
516	479.5232164
517	479.4070882
518	479.2404812
519	479.1806491
520	479.0561334
521	478.9234576
522	478.7663424
523	478.6396209
524	478.5586762
525	478.3832972
526	478.1986499
527	478.1163804
528	477.9479191
529	477.8712539
530	477.7475968
531	477.6734993
532	477.6064228
533	477.5440581
534	477.4103579
535	477.3305959
536	477.2634914
537	477.0641038
538	476.9241175
539	476.7219506
540	476.6132795
541	476.4490339
542	476.3930285
543	476.2803683
544	476.2287637
545	476.1097444
546	475.9232402
547	475.8158039
548	475.6887287
549	475.5039195
550	475.4069407
551	475.3195046
552	475.2176274
553	475.1864496
554	475.0555614
555	474.9923603
556	474.9176731
557	474.8116524
558	474.6375678
559	474.4584414
560	474.4387391
561	474.2732349
562	474.2066373
563	474.0859289
564	473.9440489
565	473.8316396
566	473.7413554
567	473.6646614
568	473.5241175
569	473.4966632
570	473.323593
571	473.2037892
572	473.0963077
573	472.9246538
574	472.8086097
575	472.6989823
576	472.5991233
577	472.4686551
578	472.300941
579	472.154685
580	472.012579
581	471.8259912
582	471.7298874
583	471.6377831
584	471.4129296
585	471.3214176
586	471.2371745
587	471.0486423
588	470.9388784
589	470.9067198
590	470.8967067
591	470.8389044
592	470.7840506
593	470.7279498
594	470.5267356
595	470.4246959
596	470.2945798
597	470.2667494
598	470.081121
599	470.0612335
600	470.0310304
601	469.9894528
602	469.8515983
603	469.7503633
604	469.6748653
605	469.5215952
606	469.5106282
607	469.4143267
608	469.3068519
609	469.1522648
610	469.1144879
611	469.1050141
612	468.8365707
613	468.6923705
614	468.5750007
615	468.529861
616	468.5054938
617	468.4070702
618	468.2088504
619	468.1762956
620	468.1460527
621	468.0440974
622	467.8849686
623	467.7571446
624	467.6277482
625	467.5059118
626	467.3481277
627	467.2457635
628	467.1957764
629	467.1475162
630	467.1138068
631	466.9865644
632	466.9325098
633	466.8815506
634	466.8049176
635	466.7150053
636	466.6552819
637	466.5755562
638	466.449146
639	466.3649779
640	466.3073215
641	466.2612148
642	466.155405
643	466.0491779
644	465.9017926
645	465.8363013
646	465.7550831
647	465.6551479
648	465.5129142
649	465.492341
650	465.3982786
651	465.379096
652	465.281344
653	465.1450118
654	465.1005356
655	465.0521459
656	464.9084215
657	464.8318763
658	464.7465304
659	464.5132547
660	464.2854817
661	464.1756528
662	464.0356024
663	463.9171029
664	463.7071461
665	463.6841731
666	463.5181724
667	463.4832568
668	463.3228307
669	463.2297444
670	463.0920675
671	462.9329018
672	462.8586253
673	462.7495409
674	462.7115137
675	462.5842062
676	462.5535002
677	462.4374389
678	462.3576684
679	462.3275837
680	462.2448376
681	462.1742235
682	462.1408662
683	462.0494115
684	461.9852848
685	461.895762
686	461.676782
687	461.6101504
688	461.4956327
689	461.4235726
690	461.3813929
691	461.3561677
692	461.2219759
693	461.083846
694	460.9288118
695	460.8950667
696	460.8468093
697	460.7157098
698	460.626825
699	460.5618149
700	460.3719233
701	460.3118427
702	460.2763421
703	460.1962368
704	460.1440363
705	460.0640195
706	460.0354461
707	459.9450948
708	459.8549738
709	459.8080779
710	459.684483
711	459.5181372
712	459.3528076
713	459.3222982
714	459.2437891
715	459.1521552
716	459.0842852
717	459.0333891
718	459.0088189
719	458.9548081
720	458.8870037
721	458.7117037
722	458.6244186
723	458.580465
724	458.5491672
725	458.4284924
726	458.3727602
727	458.3146409
728	458.2484484
729	458.2127667
730	458.1551421
731	458.0640682
732	458.0188095
733	457.940052
734	457.8571989
735	457.7597186
736	457.6440893
737	457.6072288
738	457.4253773
739	457.3211983
740	457.2536315
741	457.1759032
742	457.1313996
743	457.0645691
744	456.9722373
745	456.9202928
746	456.8723598
747	456.8214221
748	456.7289276
749	456.6115351
750	456.5125628
751	456.493628
752	456.4761872
753	456.4604867
754	456.366705
755	456.1963539
756	456.0789854
757	455.9504606
758	455.8995774
759	455.8083222
760	455.7939574
761	455.6111905
762	455.4953251
763	455.3854641
764	455.2468
765	455.1355801
766	454.9795945
767	454.8237173
768	454.6811527
769	454.6034118
770	454.559079
771	454.4679457
772	454.3710034
773	454.2952559
774	454.1935856
775	454.0417832
776	453.9313269
777	453.9036741
778	453.8836171
779	453.8314009
780	453.7636906
781	453.7317105
782	453.6485617
783	453.5278642
784	453.4497445
785	453.3607839
786	453.3136038
787	453.2081627
788	453.1496741
789	452.9819414
790	452.9603535
791	452.8131658
792	452.7530028
793	452.7208786
794	452.602578
795	452.5829546
796	452.538928
797	452.3551018
798	452.2427257
799	452.2100653
800	452.1342752
801	452.0180825
802	451.9013506
803	451.8167855
804	451.7722214
805	451.6630597
806	451.6429647
807	451.5430622
808	451.4344146
809	451.3639734
810	451.2276756
811	451.1510155
812	451.0716037
813	450.9110406
814	450.7608794
815	450.6557317
816	450.6424109
817	450.5538972
818	450.464581
819	450.3718391
820	450.307706
821	450.2178648
822	450.1167793
823	449.9963958
824	449.9061599
825	449.8920248
826	449.8409963
827	449.7971138
828	449.6891547
829	449.5951408
830	449.459362
831	449.3822062
832	449.321768
833	449.2650155
834	449.2433959
835	449.1443105
836	449.1062166
837	448.9685161
838	448.9465177
839	448.9265603
840	448.8547801
841	448.7401433
842	448.6356138
843	448.5824427
844	448.5663274
845	448.4699402
846	448.3124679
847	448.2546565
848	448.1969885
849	448.0822376
850	447.9882944
851	447.8913938
852	447.8153913
853	447.6600659
854	447.5908101
855	447.5416265
856	447.4925466
857	447.4371768
858	447.3419772
859	447.2477706
860	447.1889412
861	447.0584204
862	446.9293158
863	446.8335093
864	446.7113878
865	446.6718262
866	446.6229114
867	446.5473935
868	446.4628338
869	446.3825938
870	446.3313569
871	446.2956782
872	446.2521072
873	446.1989011
874	446.1135759
875	446.0366819
876	446.0099466
877	445.955985
878	445.9437303
879	445.9106025
880	445.878962
881	445.7829689
882	445.7292836
883	445.5880879
884	445.5753176
885	445.5142635
886	445.4060481
887	445.405589
888	445.347871
889	445.2603806
890	445.2420612
891	445.1663016
892	445.1424914
893	445.1315927
894	445.100424
895	445.0207467
896	444.9557455
897	444.914872
898	444.8251444
899	444.7028067
900	444.6261511
901	444.5842439
902	444.5168982
903	444.4989324
904	444.359618
905	444.3046811
906	444.1564441
907	444.0601874
908	444.0013966
909	443.9717215
910	443.9080151
911	443.8656343
912	443.7353736
913	443.6887677
914	443.6228974
915	443.5770501
916	443.5295762
917	443.4435647
918	443.3721642
919	443.3515617
920	443.276933
921	443.233553
922	443.0839386
