iter	Passed	Remaining
0	6	6535
1	11	5657
2	16	5335
3	20	5061
4	24	4948
5	29	4873
6	33	4781
7	38	4829
8	43	4809
9	48	4770
10	52	4760
11	57	4735
12	62	4728
13	66	4713
14	72	4731
15	77	4753
16	82	4749
17	88	4802
18	92	4791
19	97	4796
20	103	4816
21	108	4810
22	113	4804
23	117	4785
24	123	4829
25	130	4891
26	138	4999
27	147	5110
28	154	5167
29	160	5197
30	167	5228
31	173	5246
32	178	5226
33	184	5244
34	190	5255
35	195	5230
36	201	5251
37	208	5278
38	213	5264
39	218	5240
40	222	5211
41	227	5196
42	233	5196
43	239	5196
44	244	5185
45	249	5182
46	254	5168
47	260	5157
48	264	5140
49	269	5124
50	274	5116
51	279	5103
52	284	5086
53	289	5076
54	296	5098
55	303	5111
56	308	5099
57	313	5083
58	317	5070
59	324	5077
60	330	5088
61	336	5084
62	344	5117
63	352	5148
64	360	5182
65	370	5241
66	375	5225
67	380	5214
68	385	5197
69	390	5186
70	395	5175
71	400	5166
72	405	5152
73	410	5136
74	415	5123
75	420	5117
76	426	5114
77	432	5106
78	437	5098
79	442	5091
80	448	5085
81	455	5095
82	462	5111
83	470	5134
84	477	5140
85	483	5135
86	488	5126
87	494	5120
88	501	5136
89	507	5126
90	513	5124
91	517	5109
92	522	5092
93	527	5080
94	531	5063
95	535	5046
96	540	5033
97	545	5020
98	550	5007
99	554	4992
100	560	4986
101	564	4973
102	569	4962
103	575	4957
104	579	4943
105	584	4929
106	589	4919
107	594	4911
108	599	4902
109	604	4893
110	609	4879
111	613	4867
112	618	4856
113	623	4845
114	627	4832
115	632	4816
116	636	4802
117	640	4790
118	645	4775
119	649	4760
120	653	4748
121	658	4737
122	663	4728
123	667	4716
124	672	4707
125	677	4701
126	682	4694
127	687	4683
128	692	4675
129	697	4665
130	702	4660
131	707	4654
132	712	4647
133	717	4636
134	721	4624
135	726	4617
136	731	4610
137	736	4602
138	741	4595
139	747	4592
140	752	4587
141	757	4578
142	762	4571
143	769	4574
144	775	4573
145	780	4566
146	785	4558
147	790	4549
148	795	4541
149	800	4534
150	805	4528
151	809	4517
152	814	4511
153	819	4500
154	823	4488
155	828	4479
156	833	4473
157	837	4464
158	842	4455
159	846	4442
160	851	4435
161	855	4426
162	859	4415
163	864	4406
164	868	4395
165	873	4386
166	877	4377
167	882	4369
168	886	4360
169	891	4351
170	895	4341
171	900	4334
172	905	4326
173	909	4319
174	914	4310
175	918	4302
176	923	4293
177	928	4285
178	932	4276
179	937	4269
180	942	4264
181	947	4260
182	951	4249
183	956	4243
184	961	4234
185	965	4225
186	970	4217
187	975	4211
188	979	4202
189	984	4195
190	989	4189
191	994	4183
192	998	4175
193	1002	4166
194	1007	4159
195	1012	4154
196	1017	4148
197	1021	4139
198	1025	4129
199	1030	4120
200	1034	4112
201	1038	4103
202	1043	4096
203	1047	4087
204	1051	4078
205	1055	4068
206	1060	4062
207	1065	4055
208	1069	4047
209	1073	4039
210	1077	4029
211	1081	4021
212	1086	4013
213	1090	4006
214	1095	4000
215	1099	3992
216	1104	3984
217	1109	3978
218	1113	3970
219	1118	3964
220	1122	3957
221	1127	3949
222	1132	3945
223	1137	3940
224	1141	3933
225	1146	3927
226	1151	3922
227	1157	3918
228	1162	3912
229	1166	3906
230	1171	3899
231	1175	3891
232	1180	3885
233	1185	3881
234	1190	3874
235	1194	3867
236	1199	3861
237	1203	3854
238	1208	3848
239	1213	3842
240	1217	3833
241	1221	3825
242	1225	3817
243	1229	3810
244	1234	3803
245	1238	3796
246	1242	3788
247	1246	3780
248	1250	3773
249	1254	3764
250	1258	3756
251	1263	3750
252	1267	3742
253	1271	3734
254	1275	3726
255	1279	3718
256	1283	3711
257	1288	3704
258	1292	3696
259	1296	3690
260	1301	3683
261	1305	3677
262	1310	3671
263	1314	3665
